loan_amnt,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,open_acc,total_pymnt,total_rec_int
12000,A,A5,1 year,RENT,105000,2017/1/11,Fully Paid,10,13041.19149,1041.19
5000,A,A4,9 years,OWN,56400,2017/1/11,Charged Off,15,3927.47,465.75
20000,C,C5,3 years,MORTGAGE,126251,2017/1/11,Fully Paid,2,27747.94,7747.94
8000,D,D5,< 1 year,RENT,41600,2017/1/11, Fully Paid,6,11557.64,3557.64
12000,C,C1,10+ years,RENT,96000,2017/9/10,fully Paid,8,14410.93534,2410.94
10000,C,C2,2 years,MORTGAGE,,2017/9/10,Fully Paid,10,13181.65155,3181.65
6000,D,D3,< 1 year,MORTGAGE,60000,2017/5/11,Charged Off,7,6543.59,1584.75
15000,A,A5,10+ years,MORTGAGE,55000,2017/10/10,Fully Paid,14,16274.76291,1274.76
8000,B,B2,5 years,MORTGAGE,550000,2017/9/10,Fully Paid,5,9394.916746,1394.92
7200,C,C5,10+ years,RENT,68400,2017/9/10,Fully Paid,9,8844.469278,1644.47
14000,A,A3,10+ years,OWN,71000,2017/10/10,fully Paid,8,15595.38991,1595.39
7500,B,B5,1 year,RENT,35004,2017/9/10,Fully Paid,6,9978.050264,2478.05
6600,A,A5,8 years,MORTGAGE,55800,2017/7/10,Fully Paid,8,7349.81686,749.82
12000,C,C1,5 years,RENT,45600,2017/7/10,Fully Paid,7,13565.70356,1565.7
,B,B5,8 years,MORTGAGE,62400,2017/8/10,Charged Off,8,5207.37,1520.88
2000,A,A1,n/a,OWN,16000,2017/7/10,Fully Paid,9,2203.34843,203.35
13000,D,D4,10+ years,MORTGAGE,25000,2017/7/10,fully Paid,19,18442.06888,5442.07
1800,C,C3,6 years,OWN,45600,2017/5/10, Fully Paid,11,2025.550714,225.55
6000,A,A5,8 years,RENT,82000,2017/5/10,Fully Paid,17,6745.258045,745.26
7000,B,B3,10+ years,MORTGAGE,102660,2017/5/10,Fully Paid,9,9052.310001,2052.31
25000,E,E1,10+ years,RENT,56000,2017/5/10,Fully Paid,6,19901.63049,3001.63
4000,B,B2,2 years,RENT,16800,2017/5/10,Fully Paid,3,4318.218537,318.22
1800,C,C3,6 years,OWN,45600,2017/5/10,Fully Paid,11,2025.550714,225.55
6000,A,A5,8 years,RENT,82000,2017/5/10,Fully Paid,17,6745.258045,745.26
7000,B,B3,10+ years,MORTGAGE,102660,2017/5/10,fully Paid,9,9052.310001,2052.31
500000,E,E1,10+ years,RENT,56000,2017/5/10,Fully Paid,6,19901.63049,3001.63
4000,B,B2,2 years,RENT,16800,2017/5/10,Fully Paid,3,4318.218537,318.22
6000,D,D2,2 years,RENT,48000,2017/4/10,   Fully Paid,7,7463.352797,1463.35
25000,B,B4,6 years,RENT,60000,2017/4/10,Fully Paid,11,29462.61762,4462.62
4000,B,B2,2 years,RENT,,2017/5/10,Fully Paid,3,4318.218537,318.22
24250,B,B5,10+ years,MORTGAGE,140000,2017/12/9,Fully Paid,15,27565.43185,3315.44
8000,B,B5,2 years,RENT,63000,2017/12/9,Fully Paid,7,9171.043721,1171.04
9000,B,B1,5 years,MORTGAGE,54000,2017/11/9,Fully Paid,12,10643.95649,1628.96
8000,A,A4,5 years,MORTGAGE,38000,2017/11/9,Fully Paid,6,8322.639678,322.64
2000,A,A2,2 years,MORTGAGE,44000,2017/11/9, Fully Paid,11,2207.212632,207.21
8000,B,B5,2 years,RENT,63000,2017/12/9,Fully Paid,7,9171.043721,1171.04
17600,D,D4,8 years,RENT,72000,2017/5/11,Fully Paid,14,20172.78686,2572.79
